Freq	to_id	from_id
68	to_95	from_7
68	to_95	from_3
68	to_95	from_38
68	to_95	from_89
68	to_95	from_35
47	to_96	from_11
47	to_96	from_6
47	to_96	from_37
47	to_96	from_35
47	to_96	from_32
47	to_96	from_26
47	to_96	from_3
47	to_96	from_13
47	to_96	from_39
47	to_96	from_34
47	to_96	from_25
48	to_97	from_4
48	to_97	from_36
48	to_97	from_19
48	to_97	from_18
48	to_97	from_3
48	to_97	from_11
48	to_97	from_20
48	to_97	from_15
48	to_97	from_6
48	to_97	from_2
48	to_97	from_7
48	to_97	from_64
48	to_97	from_26
48	to_97	from_13
48	to_97	from_67
48	to_97	from_10
42	to_98	from_3
42	to_98	from_11
42	to_98	from_45
42	to_98	from_36
42	to_98	from_13
42	to_98	from_35
42	to_98	from_20
42	to_98	from_26
42	to_98	from_5
42	to_98	from_55
42	to_98	from_37
42	to_98	from_38
42	to_98	from_33
42	to_98	from_17
42	to_98	from_6
42	to_98	from_49
42	to_98	from_64
42	to_98	from_7
42	to_98	from_50
36	to_99	from_61
30	to_100	from_13
30	to_100	from_32
30	to_100	from_3
30	to_100	from_39
30	to_100	from_17
57	to_101	from_17
57	to_101	from_43
57	to_101	from_39
57	to_101	from_7
57	to_101	from_13
57	to_101	from_65
35	to_102	from_13
35	to_102	from_32
35	to_102	from_26
35	to_102	from_43
35	to_102	from_40
35	to_102	from_17
80	to_103	from_40
80	to_103	from_61
80	to_103	from_6
80	to_103	from_45
80	to_103	from_15
80	to_103	from_39
80	to_103	from_38
80	to_103	from_32
80	to_103	from_4
80	to_103	from_17
80	to_103	from_3
80	to_103	from_35
80	to_103	from_25
80	to_103	from_34
80	to_103	from_13
128	to_104	from_7
128	to_104	from_2
128	to_104	from_15
128	to_104	from_1
128	to_104	from_38
128	to_104	from_3
128	to_104	from_5
128	to_104	from_4
128	to_104	from_11
128	to_104	from_6
128	to_104	from_24
128	to_104	from_28
128	to_104	from_13
128	to_104	from_17
128	to_104	from_67
128	to_104	from_10
128	to_104	from_90
38	to_105	from_3
38	to_105	from_10
38	to_105	from_64
38	to_105	from_12
38	to_105	from_51
38	to_105	from_28
38	to_105	from_41
38	to_105	from_67
72	to_106	from_31
72	to_106	from_35
72	to_106	from_51
72	to_106	from_38
72	to_106	from_10
72	to_106	from_36
72	to_106	from_17
72	to_106	from_15
72	to_106	from_32
72	to_106	from_34
72	to_106	from_6
72	to_106	from_33
72	to_106	from_54
72	to_106	from_39
72	to_106	from_52
72	to_106	from_26
72	to_106	from_45
72	to_106	from_3
36	to_107	from_42
46	to_108	from_35
46	to_108	from_13
46	to_108	from_17
46	to_108	from_45
46	to_108	from_33
46	to_108	from_39
46	to_108	from_3
46	to_108	from_14
46	to_108	from_4
31	to_109	from_32
31	to_109	from_43
31	to_109	from_3
31	to_109	from_39
31	to_109	from_7
31	to_109	from_17
31	to_109	from_61
31	to_109	from_40
31	to_109	from_25
31	to_110	from_5
31	to_110	from_33
31	to_110	from_17
31	to_110	from_39
31	to_110	from_32
31	to_110	from_35
31	to_110	from_45
31	to_110	from_10
31	to_110	from_6
31	to_110	from_31
75	to_111	from_45
75	to_111	from_68
75	to_111	from_55
75	to_111	from_6
75	to_111	from_36
75	to_111	from_37
75	to_111	from_38
75	to_111	from_70
75	to_111	from_41
75	to_111	from_11
75	to_111	from_4
75	to_111	from_13
75	to_111	from_86
75	to_111	from_91
75	to_111	from_26
30	to_112	from_79
30	to_112	from_51
30	to_112	from_16
30	to_112	from_67
30	to_112	from_34
30	to_112	from_10
30	to_112	from_66
30	to_112	from_64
30	to_112	from_26
49	to_113	from_54
